Attack category,Attack subcategory,Protocol,Source IP,Source Port,Destination IP,Destination Port,Attack Name,Attack Reference,.,Time
Exploits,Cisco IOS ,tcp,175.45.176.2,319550.7619,149.171.126.10,-208836.0381,Cisco IOS HTTP Authentication Bypass Level 67,CVE 2001-0537 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2001%2d0537)BID 2936 (http://www.securityfocus.com/bid/2936)OSVDB 578 (http://www.osvdb.org/578)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927418-1421927421
DoS,Miscellaneous,tcp,175.45.176.0,320621.4083,149.171.126.15,-209614.1917,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927437
DoS,Miscellaneous,tcp,175.45.176.0,321692.0548,149.171.126.15,-210392.3452,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927440
Generic, IXIA,tcp,175.45.176.0,322762.7012,149.171.126.14,-211170.4988,Alt-N_MDaemon_WorldClient_Service_Memory_Corruption_attack,CVE 2008-2631 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d2631)OSVDB 45923 (http://www.osvdb.org/45923)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aP%29),.,1421927420-1421927423
Exploits,Browser,tcp,175.45.176.0,323833.3476,149.171.126.18,-211948.6524,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927427
Exploits,Browser,tcp,175.45.176.0,324903.994,149.171.126.18,-212726.806,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927428
Exploits,SCADA,Tcp,175.45.176.3,325974.6405,149.171.126.12,-213504.9595,Mitsubishi EZPcAut260.dll ActiveX Control ESOpen Buffer Overflow,CVE 2014-1641 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2014%2d1641)BPS 2014-0005 (https://strikecenter.bpointsys.com/bps/advisory/BPS-2014%2d0005)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927422-1421927425
Exploits,Browser,tcp,175.45.176.2,327045.2869,149.171.126.13,-214283.1131,Microsoft Internet Explorer Layouts Handling Memory Corruption,CVE 2011-0094 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d0094)MSB MS11-018 (http://www.microsoft.com/technet/security/bulletin/MS11%2d018.mspx)BID 47190 (http://www.securityfocus.com/bid/47190)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927423-1421927426
Exploits,Browser,tcp,175.45.176.1,328115.9333,149.171.126.13,-215061.2667,Microsoft Internet Explorer ActiveX Arbitrary Command Execution,CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927431
Exploits,Browser,tcp,175.45.176.1,329186.5798,149.171.126.13,-215839.4202,Microsoft Internet Explorer ActiveX Arbitrary Command Execution,CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927432
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,175.45.176.3,330257.2262,149.171.126.11,-216617.5738,SunRPC UDP Portmapper GETPORT Request (iostatv2/tcp),-,.,1421927426-1421927429
Reconnaissance,HTTP,tcp,175.45.176.0,331327.8726,149.171.126.16,-217395.7274,Domino Web Server Database Access: /doladmin.nsf,-,.,1421927414-1421927420
Exploits,Unix 'r' Service,udp,175.45.176.3,332398.519,149.171.126.18,-218173.881,Solaris rwalld Format String Vulnerability,CVE 2002-0573 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d0573)BID 4639 (http://www.securityfocus.com/bid/4639)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927415-1421927419
Exploits,Browser,tcp,175.45.176.2,333469.1655,149.171.126.16,-218952.0345,Windows Metafile (WMF) SetAbortProc() Code Execution [009],CVE 2005-4560 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2005%2d4560)BID 16074 (http://www.securityfocus.com/bid/16074)OSVDB 21987 (http://www.osvdb.org/21987)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927416-1421927420
Exploits,Miscellaneous Batch,tcp,175.45.176.2,334539.8119,149.171.126.16,-219730.1881,HP Data Protector Backup,CVE 2011-1729 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1729)BID 47638 (http://www.securityfocus.com/bid/47638)OSVDB 72188 (http://www.osvdb.org/72188)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927417-1421927421
Exploits,Cisco IOS ,tcp,175.45.176.2,335610.4583,149.171.126.10,-220508.3417,Cisco IOS HTTP Authentication Bypass Level 68,CVE 2001-0537 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2001%2d0537)BID 2936 (http://www.securityfocus.com/bid/2936)OSVDB 578 (http://www.osvdb.org/578)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927418-1421927422
Reconnaissance,HTTP,tcp,175.45.176.0,336681.1048,149.171.126.16,-221286.4952,Domino Web Server Database Access: /doladmin.nsf,-,.,1421927414-1421927419
Exploits,Unix 'r' Service,udp,175.45.176.3,337751.7512,149.171.126.18,-222064.6488,Solaris rwalld Format String Vulnerability,CVE 2002-0573 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d0573)BID 4639 (http://www.securityfocus.com/bid/4639)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927415-1421927418
Exploits,Browser,tcp,175.45.176.2,338822.3976,149.171.126.16,-222842.8024,Windows Metafile (WMF) SetAbortProc() Code Execution [009],CVE 2005-4560 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2005%2d4560)BID 16074 (http://www.securityfocus.com/bid/16074)OSVDB 21987 (http://www.osvdb.org/21987)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927416-1421927419
Exploits,Miscellaneous Batch,tcp,175.45.176.2,339893.044,149.171.126.16,-223620.956,HP Data Protector Backup,CVE 2011-1729 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1729)BID 47638 (http://www.securityfocus.com/bid/47638)OSVDB 72188 (http://www.osvdb.org/72188)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927417-1421927420
Exploits,Cisco IOS ,tcp,175.45.176.2,340963.6905,149.171.126.10,-224399.1095,Cisco IOS HTTP Authentication Bypass Level 67,CVE 2001-0537 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2001%2d0537)BID 2936 (http://www.securityfocus.com/bid/2936)OSVDB 578 (http://www.osvdb.org/578)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927418-1421927421
DoS,Miscellaneous,tcp,175.45.176.0,342034.3369,149.171.126.15,-225177.2631,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927437
DoS,Miscellaneous,tcp,175.45.176.0,343104.9833,149.171.126.15,-225955.4167,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927440
Generic, IXIA,tcp,175.45.176.0,344175.6298,149.171.126.14,-226733.5702,Alt-N_MDaemon_WorldClient_Service_Memory_Corruption_attack,CVE 2008-2631 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d2631)OSVDB 45923 (http://www.osvdb.org/45923)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aP%29),.,1421927420-1421927423
Exploits,Browser,tcp,175.45.176.0,345246.2762,149.171.126.18,-227511.7238,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927427
Exploits,Browser,tcp,175.45.176.0,346316.9226,149.171.126.18,-228289.8774,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927428
Exploits,SCADA,Tcp,175.45.176.3,347387.569,149.171.126.12,-229068.031,Mitsubishi EZPcAut260.dll ActiveX Control ESOpen Buffer Overflow,CVE 2014-1641 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2014%2d1641)BPS 2014-0005 (https://strikecenter.bpointsys.com/bps/advisory/BPS-2014%2d0005)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927422-1421927425
Exploits,Browser,tcp,175.45.176.2,348458.2155,149.171.126.13,-229846.1845,Microsoft Internet Explorer Layouts Handling Memory Corruption,CVE 2011-0094 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d0094)MSB MS11-018 (http://www.microsoft.com/technet/security/bulletin/MS11%2d018.mspx)BID 47190 (http://www.securityfocus.com/bid/47190)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927423-1421927426
Exploits,Browser,tcp,175.45.176.1,349528.8619,149.171.126.13,-230624.3381,Microsoft Internet Explorer ActiveX Arbitrary Command Execution,CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927431
Exploits,Browser,tcp,175.45.176.1,350599.5083,149.171.126.13,-231402.4917,Microsoft Internet Explorer ActiveX Arbitrary Command Execution,CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927432
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,175.45.176.3,351670.1548,149.171.126.11,-232180.6452,SunRPC UDP Portmapper GETPORT Request (iostatv2/tcp),-,.,1421927426-1421927429
Reconnaissance,HTTP,tcp,175.45.176.0,352740.8012,149.171.126.16,-232958.7988,Domino Web Server Database Access: /doladmin.nsf,-,.,1421927414-1421927420
Exploits,Unix 'r' Service,udp,175.45.176.3,353811.4476,149.171.126.18,-233736.9524,Solaris rwalld Format String Vulnerability,CVE 2002-0573 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d0573)BID 4639 (http://www.securityfocus.com/bid/4639)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927415-1421927419
Exploits,Browser,tcp,175.45.176.2,354882.094,149.171.126.16,-234515.106,Windows Metafile (WMF) SetAbortProc() Code Execution [009],CVE 2005-4560 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2005%2d4560)BID 16074 (http://www.securityfocus.com/bid/16074)OSVDB 21987 (http://www.osvdb.org/21987)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927416-1421927420
Exploits,Miscellaneous Batch,tcp,175.45.176.2,355952.7405,149.171.126.16,-235293.2595,HP Data Protector Backup,CVE 2011-1729 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1729)BID 47638 (http://www.securityfocus.com/bid/47638)OSVDB 72188 (http://www.osvdb.org/72188)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927417-1421927421
Exploits,Cisco IOS ,tcp,175.45.176.2,357023.3869,149.171.126.10,-236071.4131,Cisco IOS HTTP Authentication Bypass Level 68,CVE 2001-0537 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2001%2d0537)BID 2936 (http://www.securityfocus.com/bid/2936)OSVDB 578 (http://www.osvdb.org/578)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927418-1421927422
DoS,Miscellaneous,tcp,175.45.176.0,358094.0333,149.171.126.15,-236849.5667,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927443
DoS,Miscellaneous,tcp,175.45.176.0,359164.6798,149.171.126.15,-237627.7202,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927446
Generic, IXIA,tcp,175.45.176.0,360235.3262,149.171.126.14,-238405.8738,Alt-N_MDaemon_WorldClient_Service_Memory_Corruption_attack,CVE 2008-2631 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d2631)OSVDB 45923 (http://www.osvdb.org/45923)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aP%29),.,1421927420-1421927424
Exploits,Browser,tcp,175.45.176.0,361305.9726,149.171.126.18,-239184.0274,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927429
Exploits,Browser,tcp,175.45.176.0,362376.619,149.171.126.18,-239962.181,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927430
Exploits,SCADA,Tcp,175.45.176.3,363447.2655,149.171.126.12,-240740.3345,Mitsubishi EZPcAut260.dll ActiveX Control ESOpen Buffer Overflow,CVE 2014-1641 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2014%2d1641)BPS 2014-0005 (https://strikecenter.bpointsys.com/bps/advisory/BPS-2014%2d0005)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927422-1421927426
Exploits,Browser,tcp,175.45.176.2,364517.9119,149.171.126.13,-241518.4881,Microsoft Internet Explorer Layouts Handling Memory Corruption,CVE 2011-0094 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d0094)MSB MS11-018 (http://www.microsoft.com/technet/security/bulletin/MS11%2d018.mspx)BID 47190 (http://www.securityfocus.com/bid/47190)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927423-1421927427
Exploits,Browser,tcp,175.45.176.1,365588.5583,149.171.126.13,-242296.6417,Microsoft Internet Explorer ActiveX Arbitrary Command Execution,CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927433
Exploits,Browser,tcp,175.45.176.1,366659.2048,149.171.126.13,-243074.7952,Microsoft Internet Explorer ActiveX Arbitrary Command Execution,CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927434
Reconnaissance,HTTP,tcp,175.45.176.0,367729.8512,149.171.126.16,-243852.9488,Domino Web Server Database Access: /doladmin.nsf,-,.,1421927414-1421927420
Exploits,Unix 'r' Service,udp,175.45.176.3,368800.4976,149.171.126.18,-244631.1024,Solaris rwalld Format String Vulnerability,CVE 2002-0573 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d0573)BID 4639 (http://www.securityfocus.com/bid/4639)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927415-1421927419
Exploits,Browser,tcp,175.45.176.2,369871.144,149.171.126.16,-245409.256,Windows Metafile (WMF) SetAbortProc() Code Execution [009],CVE 2005-4560 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2005%2d4560)BID 16074 (http://www.securityfocus.com/bid/16074)OSVDB 21987 (http://www.osvdb.org/21987)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927416-1421927420
Exploits,Miscellaneous Batch,tcp,175.45.176.2,370941.7905,149.171.126.16,-246187.4095,HP Data Protector Backup,CVE 2011-1729 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1729)BID 47638 (http://www.securityfocus.com/bid/47638)OSVDB 72188 (http://www.osvdb.org/72188)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927417-1421927421
Exploits,Cisco IOS ,tcp,175.45.176.2,372012.4369,149.171.126.10,-246965.5631,Cisco IOS HTTP Authentication Bypass Level 68,CVE 2001-0537 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2001%2d0537)BID 2936 (http://www.securityfocus.com/bid/2936)OSVDB 578 (http://www.osvdb.org/578)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927418-1421927422
DoS,Miscellaneous,tcp,175.45.176.0,373083.0833,149.171.126.15,-247743.7167,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927443
DoS,Miscellaneous,tcp,175.45.176.0,374153.7298,149.171.126.15,-248521.8702,Cisco DCP2100 SADownStartingFrequency Denial of Service,http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927446
Generic, IXIA,tcp,175.45.176.0,375224.3762,149.171.126.14,-249300.0238,Alt-N_MDaemon_WorldClient_Service_Memory_Corruption_attack,CVE 2008-2631 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d2631)OSVDB 45923 (http://www.osvdb.org/45923)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aP%29),.,1421927420-1421927424
Exploits,Browser,tcp,175.45.176.0,376295.0226,149.171.126.18,-250078.1774,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927429
Exploits,Browser,tcp,175.45.176.0,377365.669,149.171.126.18,-250856.331,Microsoft Internet Explorer Frameset Memory Corruption,CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927430
Exploits,SCADA,Tcp,175.45.176.3,378436.3155,149.171.126.12,-251634.4845,Mitsubishi EZPcAut260.dll ActiveX Control ESOpen Buffer Overflow,CVE 2014-1641 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2014%2d1641)BPS 2014-0005 (https://strikecenter.bpointsys.com/bps/advisory/BPS-2014%2d0005)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927422-1421927426
